,Whole,37mm,28mm,21mm,17mm,13mm,10mm,Mean
Ordered JD,0.00116,0.0166,0.00991,0.00757,0.00843,0.0212,0.0149,0.0131
SVRG JD,0.000686,0.0139,0.00796,0.00616,0.00634,0.0113,0.0144,0.01
SVRG JD PS,0.000811,0.0173,0.0122,0.0101,0.0106,0.0224,0.0463,0.0198
SVRG SD,0.000684,0.0138,0.00793,0.00613,0.00628,0.0111,0.0144,0.00994
SVRG SD PS,0.000823,0.018,0.0132,0.0105,0.0105,0.0219,0.044,0.0197
