         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      347    0.002    0.000    0.013    0.000 lowering.py:1447(loadvar)
      486    0.002    0.000    0.010    0.000 values.py:1154(__init__)
      949    0.002    0.000    0.002    0.000 types.py:206(__new__)
      352    0.002    0.000    0.002    0.000 pprint.py:107(__init__)
      573    0.002    0.000    0.047    0.000 context.py:268(core)
       16    0.002    0.000    0.056    0.004 codegen.py:767(_finalize_dynamic_globals)
      390    0.002    0.000    0.013    0.000 builder.py:248(append_basic_block)
       88    0.002    0.000    0.003    0.000 posixpath.py:338(normpath)
      884    0.002    0.000    0.031    0.000 ir.py:269(get)
      673    0.002    0.000    0.002    0.000 __init__.py:119(valid)
      237    0.002    0.000    0.031    0.000 values.py:943(<listcomp>)
      292    0.002    0.000    0.060    0.000 base.py:500(get_constant_generic)
      241    0.002    0.000    0.014    0.000 numbers.py:1363(constant_integer)
      684    0.002    0.000    0.002    0.000 block.py:228(get_item)
      609    0.002    0.000    0.004    0.000 abstract.py:127(__ne__)
  222/198    0.002    0.000    2.320    0.012 typeinfer.py:1519(resolve_call)
     1036    0.001    0.000    0.002    0.000 values.py:876(<listcomp>)
      534    0.001    0.000    0.011    0.000 _functools.py:99(wrapper)
     1086    0.001    0.000    0.001    0.000 types.py:360(__getitem__)
     1210    0.001    0.000    0.001    0.000 models.py:89(traverse)
      293    0.001    0.000    0.043    0.000 cgutils.py:417(get_or_insert_function)
      169    0.001    0.000    0.007    0.000 array_analysis.py:942(define)
     1046    0.001    0.000    0.001    0.000 imputils.py:28(lower)
      373    0.001    0.000    0.002    0.000 bytecode.py:281(<genexpr>)
      349    0.001    0.000    0.002    0.000 ir.py:1252(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
     1162    0.001    0.000    0.001    0.000 typeinfer.py:121(getone)
  133/105    0.001    0.000    2.319    0.022 templates.py:698(_get_impl)
      136    0.001    0.000    0.277    0.002 typeinfer.py:699(__call__)
      500    0.001    0.000    0.026    0.000 controlflow.py:218(_loops)
      248    0.001    0.000    0.004    0.000 utils.py:37(erase_traceback)
      373    0.001    0.000    0.005    0.000 bytecode.py:203(next)
      485    0.001    0.000    0.031    0.000 controlflow.py:271(loops)
    22/12    0.001    0.000    0.898    0.075 lowering.py:741(lower_binop)
      265    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       16    0.001    0.000    0.067    0.004 codegen.py:773(_verify_declare_only_symbols)
      248    0.001    0.000    0.002    0.000 traceback.py:232(clear_frames)
     31/4    0.001    0.000    0.767    0.192 parfor.py:4709(remove_dead_parfor_recursive)
       16    0.001    0.000    0.056    0.003 codegen.py:1013(scan_unresolved_symbols)
  420/405    0.001    0.000    0.055    0.000 base.py:689(cast)
      226    0.001    0.000    0.003    0.000 typeof.py:66(_typeof_buffer)
      354    0.001    0.000    0.002    0.000 ir.py:240(fixup)
     1201    0.001    0.000    0.001    0.000 abstract.py:158(is_precise)
      634    0.001    0.000    0.003    0.000 ir.py:595(<genexpr>)
       60    0.001    0.000    0.074    0.001 arrayobj.py:96(shape)
      479    0.001    0.000    0.002    0.000 numpy_support.py:86(from_dtype)
      141    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
       13    0.001    0.000    0.004    0.000 targetconfig.py:272(_make_compression_dictionary)
      246    0.001    0.000    0.438    0.002 templates.py:1047(__init__)
      393    0.001    0.000    0.002    0.000 typeinfer.py:916(__setitem__)
      303    0.001    0.000    0.009    0.000 instructions.py:140(<listcomp>)
       73    0.001    0.000    0.003    0.000 instructions.py:334(descr)
      454    0.001    0.000    0.002    0.000 pathlib.py:608(_format_parsed_parts)
      346    0.001    0.000    0.008    0.000 itanium_mangler.py:63(_escape_string)
   266/48    0.001    0.000    0.422    0.009 {built-in method builtins.exec}
     1014    0.001    0.000    0.001    0.000 templates.py:46(return_type)
      556    0.001    0.000    0.002    0.000 ir.py:1105(is_temp)
      176    0.001    0.000    0.002    0.000 parfor.py:541(list_vars)
      393    0.001    0.000    0.005    0.000 ir_utils.py:1881(is_get_setitem)
      346    0.001    0.000    0.003    0.000 itanium_mangler.py:94(_len_encoded)
      354    0.001    0.000    0.004    0.000 instructions.py:34(<listcomp>)
      421    0.001    0.000    0.002    0.000 contextlib.py:514(_push_exit_callback)
     1069    0.001    0.000    0.001    0.000 ir_utils.py:1535(require)
      452    0.001    0.000    0.003    0.000 __init__.py:383(_from_text)
      782    0.001    0.000    0.001    0.000 ir.py:31(__init__)
      897    0.001    0.000    0.001    0.000 initialise.py:67(reinit)
      295    0.001    0.000    0.002    0.000 builder.py:211(module)
        1    0.001    0.001    0.004    0.004 parallel.py:379(_launch_threads)
      141    0.001    0.000    0.024    0.000 arrayobj.py:43(set_range_metadata)
      192    0.001    0.000    0.005    0.000 utils.py:610(unified_function_type)
      700    0.001    0.000    0.001    0.000 fromnumeric.py:72(<dictcomp>)
       12    0.001    0.000    0.021    0.002 typed_passes.py:614(run_pass)
     1012    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      164    0.001    0.000    0.009    0.000 fromnumeric.py:2177(sum)
   168/24    0.001    0.000    0.005    0.000 arrayprint.py:789(recurser)
      824    0.001    0.000    0.001    0.000 lowering.py:325(debug_print)
      932    0.001    0.000    0.001    0.000 context.py:22(__init__)
        2    0.001    0.001    0.007    0.003 __init__.py:359(<genexpr>)
      124    0.001    0.000    0.003    0.000 ir_utils.py:728(has_no_side_effect)
      588    0.001    0.000    0.002    0.000 typeinfer.py:520(<genexpr>)
      101    0.001    0.000    0.005    0.000 containers.py:293(__init__)
      346    0.001    0.000    0.002    0.000 analysis.py:200(fix_point_progress)
      450    0.001    0.000    0.005    0.000 __init__.py:430(_replace)
      380    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      897    0.001    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
      269    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      355    0.001    0.000    0.003    0.000 parfor.py:4557(get_parfor_pattern_vars)
     1022    0.001    0.000    0.001    0.000 values.py:1064(align)
      156    0.001    0.000    0.034    0.000 cgutils.py:173(__setitem__)
      897    0.001    0.000    0.001    0.000 initialise.py:51(deinit)
      452    0.001    0.000    0.002    0.000 __init__.py:387(_parse_groups)
       44    0.001    0.000    0.019    0.000 dispatcher.py:807(__init__)
       39    0.001    0.000    0.002    0.000 packer.py:190(unflatten)
     1016    0.001    0.000    0.001    0.000 value.py:155(is_global)
      972    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      297    0.001    0.000    0.003    0.000 instructions.py:521(descr)
      504    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
      268    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      459    0.001    0.000    0.018    0.000 ir.py:1164(get)
      876    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      572    0.001    0.000    0.001    0.000 warnings.py:437(__init__)
      712    0.001    0.000    0.006    0.000 values.py:989(<genexpr>)
      458    0.001    0.000    0.002    0.000 pathlib.py:600(_from_parsed_parts)
       74    0.001    0.000    0.049    0.001 typeinfer.py:715(__call__)
      406    0.001    0.000    0.058    0.000 cgutils.py:142(_get_ptr_by_index)
      190    0.001    0.000    0.011    0.000 builder.py:834(cbranch)
     31/4    0.001    0.000    0.369    0.092 parfor.py:4876(apply_copies_parfor)
      190    0.001    0.000    0.037    0.000 cgutils.py:166(__getitem__)
      202    0.001    0.000    0.011    0.000 builder.py:826(branch)
      297    0.001    0.000    0.007    0.000 ir_utils.py:461(<listcomp>)
      265    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      324    0.001    0.000    0.009    0.000 compiler_machinery.py:201(add_pass)
      533    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:391(cached)
      245    0.001    0.000    0.002    0.000 ffi.py:253(__init__)
      299    0.001    0.000    0.006    0.000 ir.py:1194(redefine)
      190    0.001    0.000    0.040    0.000 cgutils.py:149(__getattr__)
      500    0.001    0.000    0.002    0.000 array_analysis.py:249(_get_ind)
        1    0.001    0.001    0.017    0.017 arrayobj.py:1(<module>)
      246    0.001    0.000    0.010    0.000 ssa.py:300(on_assign)
      681    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     1022    0.001    0.000    0.001    0.000 values.py:1073(dereferenceable)
      111    0.001    0.000    0.006    0.000 models.py:715(<listcomp>)
      178    0.001    0.000    0.025    0.000 misc.py:61(literal)
      355    0.001    0.000    0.002    0.000 parfor.py:3958(<setcomp>)
        8    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
      588    0.001    0.000    0.002    0.000 typeinfer.py:523(<genexpr>)
      474    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C.TensorBase' objects}
     1022    0.001    0.000    0.001    0.000 values.py:1082(dereferenceable_or_null)
      378    0.001    0.000    0.007    0.000 builder.py:290(_branch_helper)
       55    0.001    0.000    0.005    0.000 lowering.py:412(pre_block)
       74    0.001    0.000    0.008    0.000 typeinfer.py:217(__call__)
    39/32    0.001    0.000    1.232    0.039 lowering.py:915(lower_call)
      355    0.001    0.000    0.018    0.000 functions.py:266(augment)
      452    0.001    0.000    0.018    0.000 pathlib.py:845(joinpath)
      136    0.001    0.000    0.014    0.000 itanium_mangler.py:107(mangle_identifier)
      452    0.001    0.000    0.005    0.000 pathlib.py:631(__fspath__)
      308    0.001    0.000    0.005    0.000 byteflow.py:167(_run_handle_exception)
       12    0.001    0.000    0.004    0.000 analysis.py:580(rewrite_semantic_constants)
      237    0.001    0.000    0.023    0.000 passmanagers.py:738(finalize)
       14    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
      151    0.001    0.000    0.003    0.000 numpy_support.py:276(supported_ufunc_loop)
        8    0.001    0.000    0.001    0.000 {built-in method _ctypes.dlopen}
      109    0.001    0.000    0.010    0.000 extending.py:352(_register)
       37    0.001    0.000    0.033    0.001 types.py:33(_get_ll_pointer_type)
      355    0.001    0.000    0.033    0.000 controlflow.py:297(topo_order)
       15    0.001    0.000    0.016    0.001 typeinfer.py:1118(unify)
      875    0.001    0.000    0.001    0.000 context.py:27(astuple)
      427    0.001    0.000    0.002    0.000 ir.py:194(with_lineno)
      128    0.001    0.000    3.935    0.031 GradientOperator.py:138(adjoint)
     30/1    0.001    0.000   12.434   12.434 dispatcher.py:915(compile)
       87    0.001    0.000    0.004    0.000 array_analysis.py:512(_insert)
      226    0.001    0.000    0.005    0.000 cffi_utils.py:39(is_cffi_func)
      144    0.001    0.000    0.064    0.000 npydecl.py:201(generic)
      408    0.001    0.000    0.002    0.000 types.py:519(gep)
      128    0.001    0.000    2.191    0.017 GradientOperator.py:443(<listcomp>)
      320    0.001    0.000    0.002    0.000 _ufunc_config.py:452(_no_nep50_warning)
      303    0.001    0.000    0.050    0.000 inspect.py:3252(signature)
      756    0.001    0.000    0.001    0.000 models.py:532(get_value_type)
      331    0.001    0.000    0.007    0.000 event.py:436(on_exit)
       16    0.001    0.000    0.054    0.003 codegen.py:1032(scan_defined_symbols)
     18/4    0.001    0.000    0.003    0.001 ir_utils.py:505(find_max_label)
      857    0.001    0.000    0.001    0.000 typeinfer.py:114(defined)
      471    0.001    0.000    0.002    0.000 contextlib.py:426(__exit__)
      237    0.001    0.000    0.045    0.000 passmanagers.py:745(run)
      379    0.001    0.000    0.096    0.000 context.py:384(decref)
      367    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.StringIO' objects}
      472    0.001    0.000    0.002    0.000 transforms.py:37(visit_Instruction)
      303    0.001    0.000    0.049    0.000 inspect.py:2998(from_callable)
       58    0.001    0.000    0.002    0.000 interpreter.py:791(find_postive_region)
   178/68    0.001    0.000    0.011    0.000 itanium_mangler.py:127(mangle_type_or_value)
      240    0.001    0.000    0.003    0.000 {method 'all' of 'numpy.generic' objects}
      382    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
       87    0.001    0.000    0.002    0.000 array_analysis.py:266(_insert)
       99    0.001    0.000    0.004    0.000 base.py:83(_sort_signatures)
      355    0.001    0.000    0.007    0.000 controlflow.py:554(_find_dominators)
      355    0.001    0.000    0.001    0.000 parfor.py:3961(<setcomp>)
      367    0.001    0.000    0.030    0.000 controlflow.py:210(_topo_order)
      108    0.001    0.000    0.024    0.000 base.py:1209(__call__)
      897    0.001    0.000    0.001    0.000 errors.py:240(__enter__)
        5    0.001    0.000    0.041    0.008 ir_utils.py:1482(restore_copy_var_names)
      237    0.001    0.000    0.023    0.000 passmanagers.py:731(initialize)
       44    0.001    0.000    0.002    0.000 dispatcher.py:244(__init__)
      904    0.001    0.000    0.001    0.000 {built-in method io.text_encoding}
      452    0.001    0.000    0.004    0.000 packer.py:137(<genexpr>)
       60    0.001    0.000    0.112    0.002 Gradients.py:269(__init__)
      262    0.001    0.000    0.002    0.000 _utils.py:76(<listcomp>)
      245    0.001    0.000    0.002    0.000 ffi.py:271(__del__)
       28    0.001    0.000    0.053    0.002 codegen.py:684(_get_module_for_linking)
       88    0.001    0.000    0.002    0.000 posixpath.py:71(join)
      272    0.001    0.000    0.002    0.000 templates.py:1234(register_attr)
      336    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  378/362    0.001    0.000    0.003    0.000 ir.py:238(__eq__)
       16    0.001    0.000    0.006    0.000 ir_utils.py:1449(merge_adjacent_blocks)
       12    0.001    0.000    0.007    0.001 typed_passes.py:905(_strip_phi_nodes)
      281    0.001    0.000    0.002    0.000 utils.py:254(__init__)
        1    0.001    0.001    0.287    0.287 parfor.py:1996(run)
       84    0.001    0.000    0.018    0.000 cgutils.py:656(pack_array)
       12    0.001    0.000    0.004    0.000 untyped_passes.py:304(run_pass)
      433    0.001    0.000    0.002    0.000 parfor.py:4966(_get_saved_call_nodes)
      108    0.001    0.000    0.003    0.000 parfor.py:5133(dummy_return_in_loop_body)
      875    0.001    0.000    0.001    0.000 context.py:617(<lambda>)
   163/39    0.001    0.000    0.002    0.000 sre_parse.py:175(getwidth)
      315    0.001    0.000    0.001    0.000 _utils.py:9(__init__)
        7    0.001    0.000    0.002    0.000 options.py:45(_apply)
  133/105    0.001    0.000    2.336    0.022 templates.py:607(generic)
      306    0.001    0.000    0.004    0.000 target_extension.py:70(resolve_target_str)
      795    0.001    0.000    0.001    0.000 {built-in method from_bytes}
   331/48    0.001    0.000    0.514    0.011 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       15    0.001    0.000    0.008    0.001 bytecode.py:226(__init__)
       25    0.001    0.000    0.097    0.004 models.py:550(_as)
      168    0.001    0.000    0.002    0.000 arrayprint.py:739(_extendLine)
  261/217    0.001    0.000    2.332    0.011 context.py:189(resolve_function_type)
       78    0.001    0.000    0.459    0.006 module.py:212(<listcomp>)
      624    0.001    0.000    0.001    0.000 compiler_machinery.py:385(resolve_requires)
      720    0.001    0.000    0.001    0.000 ir.py:263(define)
      819    0.001    0.000    0.001    0.000 interpreter.py:1737(current_scope)
      355    0.001    0.000    0.013    0.000 controlflow.py:150(dominators)
       25    0.001    0.000    0.001    0.000 __init__.py:48(create_string_buffer)
      124    0.001    0.000    0.010    0.000 typeinfer.py:196(__call__)
      425    0.001    0.000    0.001    0.000 interpreter.py:73(get_assignment_source)
      349    0.001    0.000    0.002    0.000 target_extension.py:46(current_target)
      357    0.001    0.000    0.001    0.000 builder.py:173(_label_suffix)
      404    0.001    0.000    0.001    0.000 parfor.py:4646(<setcomp>)
      731    0.001    0.000    0.001    0.000 analysis.py:141(<genexpr>)
      139    0.001    0.000    0.008    0.000 templates.py:1256(decorate)
      237    0.001    0.000    0.002    0.000 values.py:890(__init__)
        8    0.001    0.000    0.005    0.001 enum.py:180(__new__)
      768    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      618    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      560    0.001    0.000    0.001    0.000 base.py:37(__init__)
      105    0.001    0.000    0.006    0.000 pprint.py:412(_format_items)
      237    0.001    0.000    0.005    0.000 values.py:1137(__str__)
      267    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       18    0.001    0.000    0.009    0.001 ir_utils.py:1284(rename_labels)
      730    0.001    0.000    0.001    0.000 functions.py:306(<dictcomp>)
      124    0.001    0.000    0.005    0.000 typeinfer.py:1106(copy_type)
      272    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.001    0.001    0.005    0.005 _awkward_datashape_parser.py:1(<module>)
      648    0.001    0.000    0.001    0.000 compiler_machinery.py:139(__init__)
       78    0.001    0.000    0.460    0.006 module.py:207(_get_body_lines)
      631    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
       94    0.001    0.000    0.011    0.000 typed_passes.py:698(_get_callable_info)
      161    0.001    0.000    0.001    0.000 api.py:952(_builtin_function_type)
      222    0.001    0.000    0.002    0.000 typeinfer.py:515(<listcomp>)
      648    0.001    0.000    0.001    0.000 compiler_machinery.py:280(debug_print)
    37/32    0.001    0.000    1.226    0.038 lowering.py:1157(_lower_call_normal)
      291    0.001    0.000    0.004    0.000 lowering.py:1438(getvar)
      776    0.001    0.000    0.001    0.000 value.py:159(is_function)
      107    0.001    0.000    0.002    0.000 values.py:31(_escape_string)
      374    0.001    0.000    0.001    0.000 targetconfig.py:201(is_set)
        7    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.001    0.001    0.122    0.122 parfor.py:2365(run)
       24    0.001    0.000    0.022    0.001 ir.py:111(strformat)
      284    0.001    0.000    0.001    0.000 context.py:497(insert_attributes)
      136    0.001    0.000    0.010    0.000 itanium_mangler.py:118(<listcomp>)
      128    0.001    0.000    0.007    0.000 GradientOperator.py:453(<listcomp>)
      355    0.001    0.000    0.008    0.000 controlflow.py:202(_doms)
      746    0.001    0.000    0.001    0.000 misc.py:117(key)
      100    0.001    0.000    0.002    0.000 templates.py:98(__repr__)
      147    0.001    0.000    0.034    0.000 targetconfig.py:187(__hash__)
       78    0.001    0.000    0.003    0.000 models.py:545(<listcomp>)
      306    0.001    0.000    0.002    0.000 numpy_support.py:394(<listcomp>)
      248    0.001    0.000    0.004    0.000 context.py:408(_get_global_type)
      115    0.001    0.000    0.036    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
      4/2    0.001    0.000    0.018    0.009 parfor.py:4910(push_call_vars)
    68/60    0.001    0.000    0.003    0.000 array_analysis.py:833(_get_or_set_rel)
      373    0.001    0.000    0.002    0.000 bytecode.py:177(_patched_opargs)
      262    0.001    0.000    0.001    0.000 functions.py:65(__init__)
      374    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
      667    0.001    0.000    0.001    0.000 ir.py:900(get_targets)
      237    0.001    0.000    0.444    0.002 values.py:1013(__str__)
      101    0.001    0.000    0.010    0.000 containers.py:316(__init__)
      355    0.001    0.000    0.001    0.000 parfor.py:3964(<setcomp>)
      640    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
       44    0.001    0.000    0.009    0.000 posixpath.py:466(relpath)
       96    0.001    0.000    0.005    0.000 containers.py:303(__new__)
      319    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      303    0.001    0.000    0.024    0.000 instructions.py:175(descr)
      316    0.001    0.000    0.001    0.000 byteflow.py:1664(get_top_block)
      110    0.001    0.000    0.006    0.000 builder.py:160(wrapped)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      565    0.001    0.000    0.001    0.000 analysis.py:182(<genexpr>)
       94    0.001    0.000    0.012    0.000 context.py:8(get_global_context)
   108/70    0.001    0.000    2.286    0.033 base.py:1186(__call__)
       47    0.001    0.000    0.041    0.001 typeinfer.py:1559(typeof_global)
      231    0.001    0.000    0.001    0.000 ir.py:1293(prepend)
      426    0.001    0.000    0.003    0.000 npydecl.py:219(<genexpr>)
      589    0.001    0.000    0.001    0.000 context.py:40(_require_nrt)
      346    0.001    0.000    0.001    0.000 itanium_mangler.py:84(_fix_lead_digit)
      402    0.001    0.000    0.001    0.000 containers.py:322(<genexpr>)
      354    0.001    0.000    0.001    0.000 ir_utils.py:1892(is_setitem)
       59    0.001    0.000    0.002    0.000 common.py:49(__init__)
      493    0.001    0.000    0.001    0.000 ir_utils.py:703(<setcomp>)
      570    0.001    0.000    0.001    0.000 llvm_pass_timings.py:292(record)
      373    0.001    0.000    0.003    0.000 bytecode.py:200(_fetch_opcode)
      146    0.001    0.000    0.004    0.000 targetconfig.py:57(top_or_none)
        1    0.001    0.001    1.680    1.680 parfor_lowering.py:1605(call_parallel_gufunc)
     13/5    0.001    0.000    6.321    1.264 lowering.py:250(lower_function_body)
      268    0.001    0.000    0.001    0.000 values.py:870(add)
      308    0.001    0.000    0.002    0.000 byteflow.py:280(_is_implicit_new_block)
       12    0.001    0.000    0.001    0.000 untyped_passes.py:589(run_pass)
       20    0.001    0.000    0.033    0.002 Gradients.py:145(<listcomp>)
      226    0.001    0.000    0.001    0.000 cffi_utils.py:29(is_ffi_instance)
      108    0.001    0.000    0.025    0.000 base.py:1180(__init__)
       16    0.001    0.000    0.099    0.006 array_analysis.py:1194(_determine_transform)
       30    0.001    0.000    0.074    0.002 STIR.py:586(voxel_sizes)
       93    0.001    0.000    0.002    0.000 instructions.py:237(descr)
      677    0.001    0.000    0.001    0.000 debuginfo.py:70(mark_location)
      143    0.001    0.000    0.001    0.000 __init__.py:290(__getattr__)
      589    0.001    0.000    0.001    0.000 inline_closurecall.py:1558(<listcomp>)
      104    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      216    0.001    0.000    0.004    0.000 ir.py:1185(get_or_define)
      115    0.001    0.000    0.096    0.001 postproc.py:52(deadmaps)
      214    0.001    0.000    0.003    0.000 ir.py:200(short)
      594    0.001    0.000    0.001    0.000 parfor.py:4861(<setcomp>)
      246    0.001    0.000    0.029    0.000 errors.py:590(__init__)
       23    0.001    0.000    0.152    0.007 callconv.py:868(call_function)
       57    0.001    0.000    0.003    0.000 typed_passes.py:757(select_template)
      361    0.001    0.000    0.001    0.000 contextlib.py:452(__init__)
      307    0.001    0.000    0.030    0.000 extending.py:140(register_jitable)
       13    0.001    0.000    0.003    0.000 targetconfig.py:257(_summary_args)
      303    0.001    0.000    0.001    0.000 inspect.py:632(_is_wrapper)
      272    0.001    0.000    0.001    0.000 __init__.py:101(find_spec)
  282/281    0.001    0.000    0.003    0.000 context.py:655(unify_pairs)
       12    0.001    0.000    0.006    0.001 transforms.py:529(find_ranges)
      393    0.001    0.000    0.001    0.000 typeinfer.py:44(__init__)
       39    0.001    0.000    0.016    0.000 ir_print.py:11(match)
      109    0.001    0.000    0.015    0.000 extending.py:435(_intrinsic)
       20    0.001    0.000    0.014    0.001 pythonapi.py:1373(serialize_uncached)
       46    0.001    0.000    0.002    0.000 values.py:672(descr)
      578    0.001    0.000    0.001    0.000 values.py:949(module)
       31    0.001    0.000    0.396    0.013 values.py:999(descr_body)
      224    0.001    0.000    0.001    0.000 typeinfer.py:1216(<genexpr>)
       51    0.001    0.000    0.001    0.000 transforms.py:293(has_multiple_backedges)
       25    0.001    0.000    0.712    0.028 codegen.py:723(add_ir_module)
      295    0.001    0.000    0.001    0.000 ir.py:1109(unversioned_name)
      140    0.001    0.000    0.064    0.000 templates.py:272(_select)
      553    0.001    0.000    0.001    0.000 errors.py:331(termcolor)
      596    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
       13    0.001    0.000    0.929    0.071 compiler.py:413(__init__)
      237    0.001    0.000    0.443    0.002 values.py:1006(descr)
      315    0.001    0.000    0.001    0.000 abstract.py:28(_on_type_disposal)
       14    0.001    0.000    0.337    0.024 __init__.py:1(<module>)
      496    0.001    0.000    0.001    0.000 {method 'clear' of 'frame' objects}
      190    0.001    0.000    0.001    0.000 cpu.py:116(call_conv)
      320    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      620    0.001    0.000    0.001    0.000 instructions.py:111(callee)
   108/70    0.001    0.000    2.285    0.033 base.py:1215(wrapper)
      190    0.001    0.000    0.001    0.000 instructions.py:26(module)
      308    0.001    0.000    0.002    0.000 byteflow.py:1680(has_active_try)
      306    0.001    0.000    0.017    0.000 models.py:497(getter)
      120    0.001    0.000    0.005    0.000 event.py:337(install_timer)
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.001    0.001    0.022    0.022 arraymath.py:1(<module>)
      239    0.001    0.000    0.010    0.000 templates.py:1169(make_overload_method_template)
       12    0.001    0.000    0.030    0.003 arrayobj.py:185(populate_array)
      308    0.001    0.000    0.002    0.000 byteflow.py:1573(advance_pc)
      108    0.001    0.000    0.022    0.000 base.py:1197(_has_loc)
      280    0.001    0.000    0.001    0.000 {built-in method time.time}
       79    0.001    0.000    0.006    0.000 values.py:70(wrapped)
      534    0.001    0.000    0.001    0.000 __init__.py:912(__init__)
      272    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
      452    0.001    0.000    0.001    0.000 __init__.py:100(section_pairs)
      236    0.001    0.000    0.001    0.000 templates.py:128(as_function)
    22/15    0.001    0.000    0.065    0.004 typeinfer.py:1036(build_constraint)
       53    0.001    0.000    0.024    0.000 linker.py:5(link_modules)
     15/6    0.001    0.000    2.562    0.427 typed_passes.py:66(type_inference_stage)
      107    0.001    0.000    0.002    0.000 instructions.py:422(descr)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      628    0.001    0.000    0.001    0.000 inspect.py:2699(kind)
      562    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      286    0.001    0.000    0.001    0.000 typeinfer.py:139(append)
       80    0.001    0.000    0.004    0.000 cgutils.py:44(make_bytearray)
      160    0.001    0.000    0.004    0.000 _ufunc_config.py:430(__enter__)
      598    0.001    0.000    0.001    0.000 ir.py:863(get_targets)
       78    0.001    0.000    0.465    0.006 module.py:233(__repr__)
      632    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
       12    0.001    0.000    0.002    0.000 untyped_passes.py:1609(run_pass)
    41/24    0.001    0.000    0.015    0.001 sre_parse.py:436(_parse_sub)
      253    0.001    0.000    0.002    0.000 values.py:1114(add_attribute)
      305    0.001    0.000    0.001    0.000 byteflow.py:1608(push)
       16    0.001    0.000    3.266    0.204 codegen.py:739(finalize)
      301    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
      155    0.001    0.000    0.003    0.000 numpy_support.py:332(_ufunc_loop_sig)
        5    0.001    0.000    0.003    0.001 parfor.py:2689(_get_prange_init_block)
      226    0.001    0.000    0.001    0.000 templates.py:281(get_impl_key)
        1    0.001    0.001    0.004    0.004 parfor.py:2216(run)
      258    0.001    0.000    0.001    0.000 typeinfer.py:1113(propagate_refined_type)
      144    0.001    0.000    0.003    0.000 arrayprint.py:753(_extendLine_pretty)
       63    0.001    0.000    0.156    0.002 arrayobj.py:76(_make_refs)
      336    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       73    0.001    0.000    0.001    0.000 functions.py:524(__init__)
      456    0.001    0.000    0.001    0.000 pathlib.py:94(join_parsed_parts)
      624    0.001    0.000    0.001    0.000 compiler_machinery.py:143(get_required_set)
        1    0.001    0.001    0.345    0.345 parfor.py:1463(_replace_parallel_functions)
       78    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      534    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
      588    0.001    0.000    0.001    0.000 inspect.py:3006(parameters)
