         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40921    0.047    0.000    0.047    0.000 {method 'items' of 'dict' objects}
     2844    0.046    0.000    0.046    0.000 {method 'flip' of 'torch._C.TensorBase' objects}
     9342    0.046    0.000    0.046    0.000 {method 'select' of 'torch._C.TensorBase' objects}
    27523    0.045    0.000    0.059    0.000 {built-in method _abc._abc_instancecheck}
     1422    0.045    0.000    0.178    0.000 Gradients.py:256(backward_diff)
     5395    0.045    0.000   12.966    0.002 Utilities.py:454(try_calling)
    38505    0.045    0.000    0.045    0.000 {method 'values' of 'dict' objects}
    16675    0.042    0.000    0.063    0.000 ir.py:383(__getattr__)
     2052    0.042    0.000    0.042    0.000 {built-in method torch.stack}
     8653    0.042    0.000    0.074    0.000 _utils.py:24(deduplicate)
31474/30826    0.042    0.000    0.093    0.000 {built-in method builtins.repr}
     6237    0.041    0.000    0.041    0.000 {built-in method sirf._pyiutilities.deleteDataHandle}
15341/14834    0.041    0.000    0.061    0.000 abstract.py:124(__eq__)
    16722    0.041    0.000    1.254    0.000 ir.py:350(list_vars)
18318/18218    0.040    0.000    0.106    0.000 _utils.py:54(get_reference)
    14890    0.040    0.000    0.096    0.000 event.py:100(__init__)
     1659    0.038    0.000    0.183    0.000 analysis.py:235(compute_cfg_from_blocks)
18460/18316    0.038    0.000    0.106    0.000 {method 'join' of 'str' objects}
    10595    0.038    0.000    0.071    0.000 event.py:270(on_end)
      111    0.038    0.000    0.038    0.000 {method 'random' of 'numpy.random.mtrand.RandomState' objects}
    15010    0.038    0.000    0.057    0.000 event.py:66(_guard_kind)
    31329    0.037    0.000    0.037    0.000 {method 'write' of '_io.StringIO' objects}
     1452    0.037    0.000    8.055    0.006 STIR.py:608(as_array)
    30214    0.035    0.000    0.035    0.000 pprint.py:92(__init__)
     8692    0.035    0.000    0.186    0.000 values.py:537(__init__)
    22013    0.034    0.000    0.075    0.000 {built-in method builtins.issubclass}
     8942    0.033    0.000    0.118    0.000 _utils.py:16(register)
    13356    0.033    0.000    0.764    0.000 ir.py:598(list_vars)
     7445    0.032    0.000    0.223    0.000 event.py:390(start_event)
     7445    0.031    0.000    0.270    0.000 event.py:404(end_event)
 3159/945    0.030    0.000    0.514    0.001 context.py:428(install_registry)
     3384    0.030    0.000    0.213    0.000 Gradients.py:249(forward_diff)
     7732    0.028    0.000    0.046    0.000 copy.py:243(_keep_alive)
    21190    0.028    0.000    0.028    0.000 event.py:138(is_start)
      374    0.028    0.000    0.087    0.000 Gradients.py:626(gpu_directional_op)
     6034    0.027    0.000    0.045    0.000 controlflow.py:382(_dfs)
    23676    0.027    0.000    0.027    0.000 {built-in method builtins.iter}
11193/7487    0.027    0.000    0.036    0.000 {built-in method _abc._abc_subclasscheck}
   147/41    0.026    0.000    0.090    0.002 ir_utils.py:1196(get_call_table)
11193/7487    0.026    0.000    0.053    0.000 abc.py:121(__subclasscheck__)
    10595    0.026    0.000    0.048    0.000 event.py:265(on_start)
     8942    0.026    0.000    0.144    0.000 values.py:557(_set_name)
     5395    0.025    0.000   12.852    0.002 inspect.py:1671(stack)
   744/72    0.025    0.000    0.050    0.001 ir_utils.py:1563(build_definitions)
   324/30    0.025    0.000   11.553    0.385 compiler_machinery.py:268(_runPass)
     6638    0.025    0.000    0.042    0.000 values.py:564(_get_reference)
     6416    0.025    0.000    0.290    0.000 ffi.py:76(__exit__)
     6416    0.025    0.000    0.244    0.000 ffi.py:70(__enter__)
     3335    0.024    0.000    0.248    0.000 copy.py:201(_deepcopy_list)
     1201    0.024    0.000    0.054    0.000 parfor.py:4804(wrap_parfor_blocks)
    19491    0.024    0.000    0.024    0.000 abstract.py:96(key)
     6007    0.023    0.000    0.023    0.000 _internal.py:250(__init__)
      374    0.023    0.000    0.023    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
     6237    0.023    0.000    0.051    0.000 Utilities.py:437(check_status)
14862/11759    0.023    0.000    0.039    0.000 {built-in method builtins.hash}
     2704    0.023    0.000    0.248    0.000 base.py:352(install_registry)
    18607    0.023    0.000    0.023    0.000 {method 'copy' of 'dict' objects}
     5172    0.022    0.000    0.037    0.000 ir.py:1275(find_insts)
     5072    0.022    0.000    0.153    0.000 copy.py:210(_deepcopy_tuple)
     1201    0.021    0.000    0.049    0.000 parfor.py:4820(unwrap_parfor_blocks)
    16598    0.021    0.000    0.021    0.000 _utils.py:13(is_used)
      651    0.021    0.000    0.144    0.000 targetconfig.py:199(<dictcomp>)
2490/1764    0.020    0.000    0.565    0.000 functools.py:961(__get__)
      845    0.020    0.000    0.083    0.000 utils.py:350(order_by_target_specificity)
    17359    0.020    0.000    0.020    0.000 targetconfig.py:38(default)
 2295/974    0.019    0.000    0.129    0.000 ir_utils.py:406(visit_vars_stmt)
     2284    0.019    0.000    0.037    0.000 Utilities.py:40(cpp_int_dtype)
    16610    0.019    0.000    0.019    0.000 copy.py:182(_deepcopy_atomic)
     5072    0.018    0.000    0.125    0.000 copy.py:211(<listcomp>)
     6237    0.018    0.000    0.028    0.000 pyiutilities.py:131(executionStatus)
     3143    0.018    0.000    0.320    0.000 copy.py:259(_reconstruct)
     4238    0.018    0.000    0.027    0.000 controlflow.py:367(_add_edge)
     6624    0.018    0.000    0.026    0.000 builder.py:351(_insert)
    14916    0.018    0.000    0.018    0.000 {method 'pop' of 'list' objects}
3218/3170    0.018    0.000    0.042    0.000 values.py:445(__init__)
    14352    0.018    0.000    0.018    0.000 analysis.py:40(<genexpr>)
    14890    0.017    0.000    0.017    0.000 event.py:108(kind)
     2156    0.017    0.000    0.056    0.000 base.py:123(_match)
     4724    0.017    0.000    0.024    0.000 contextlib.py:102(__init__)
    47/39    0.017    0.000    0.182    0.005 postproc.py:179(_patch_var_dels)
     8024    0.017    0.000    0.025    0.000 analysis.py:69(<genexpr>)
